Size,Entropy,Rank
Qwen2.5-7B,177.45546,0.88596344
Qwen2.5-32B,221.46135,1.6022462
Qwen2.5-32B,242.79956,1.2546382
Qwen2.5-32B,215.40308,1.2195203
Qwen2.5-32B,220.38869,1.6646525
Qwen2.5-32B,223.08542,1.3715405
Qwen2.5-32B,248.92168,1.3141686
Qwen2.5-32B,218.02861,1.1331987
Qwen2.5-32B,216.35696,1.8923895
Qwen2.5-32B,210.80194,1.3686501
Qwen2.5-32B,228.90471,1.3601351
Qwen2.5-32B,217.3021,1.1464646
Qwen2.5-32B,213.5439,1.8697554
Qwen2.5-32B,217.64807,1.3927388
Qwen2.5-32B,240.91055,1.3790268
Qwen2.5-32B,216.28325,1.1731554
Qwen2.5-32B,214.7215,1.9122628
Qwen2.5-32B,221.81537,1.5572803
Qwen2.5-32B,226.67319,1.2577469
Qwen2.5-32B,224.06099,1.1697096
Qwen2.5-32B,216.27647,1.6184837
Qwen2.5-32B,220.75092,1.567595
Qwen2.5-32B,224.87798,1.2116227
Qwen2.5-32B,216.64864,1.1701372
Qwen2.5-32B,218.5523,1.5762677
Qwen2.5-32B,214.90761,1.5814664
Qwen2.5-32B,222.60489,1.189088
Qwen2.5-32B,219.15788,1.1682957
Qwen2.5-32B,215.45639,1.5218658
Qwen2.5-32B,220.63728,1.6841148
Qwen2.5-32B,235.82217,1.1591977
Qwen2.5-32B,220.14041,1.2274623
Qwen2.5-32B,216.7652,1.4229596
Qwen2.5-32B,218.04274,1.9249485
Qwen2.5-32B,197.56364,0.9685324
Qwen2.5-32B,220.02849,1.0983298
Qwen2.5-32B,221.69284,1.1350169
Qwen2.5-32B,135.61877,0.27559292
Qwen2.5-32B,178.66426,0.55532515
Qwen2.5-32B,130.35623,0.09628309
Qwen2.5-32B,197.24948,0.55045575
Qwen2.5-32B,158.3005,0.52729374
Qwen2.5-32B,194.77522,0.88179207
Qwen2.5-32B,147.06241,0.26559788
Qwen2.5-32B,192.82358,0.88367796
Qwen2.5-32B,216.12955,1.4200946
Qwen2.5-32B,257.31992,1.3220416
Qwen2.5-32B,224.32382,1.15996
Qwen2.5-32B,217.15686,1.7802444
Qwen2.5-32B,221.14307,1.4816482
Qwen2.5-32B,248.2249,1.267689
Qwen2.5-32B,214.86526,1.1787812
Qwen2.5-32B,216.59552,1.6787958
Qwen2.5-32B,217.55576,1.3973614
Qwen2.5-32B,251.1246,1.2616761
Qwen2.5-32B,220.19336,1.1328013
Qwen2.5-32B,223.38632,1.6449157
Qwen2.5-32B,217.2703,1.5936059
Qwen2.5-32B,249.43222,1.2210207
Qwen2.5-32B,218.264,1.2268493
Qwen2.5-32B,226.32288,1.5336325
Qwen2.5-32B,216.26746,1.5790455
Qwen2.5-32B,212.15634,1.1625777
Qwen2.5-32B,221.39688,1.1313375
Qwen2.5-32B,214.4515,1.5015172
Qwen2.5-32B,209.88701,1.5874876
Qwen2.5-32B,218.7181,1.1578531
Qwen2.5-32B,218.70187,1.1146137
Qwen2.5-32B,205.98856,1.5184878
Qwen2.5-32B,227.73038,1.6577342
Qwen2.5-32B,219.81131,1.1665922
Qwen2.5-32B,220.94287,1.1879532
Qwen2.5-32B,222.9361,1.4846079
Qwen2.5-32B,226.74889,1.5827061
Qwen2.5-32B,219.25981,1.2338331
Qwen2.5-32B,219.02502,1.1765568
Qwen2.5-32B,221.28635,1.5890496
Qwen2.5-32B,219.85077,1.6011086
Qwen2.5-32B,212.26968,1.2428839
Qwen2.5-32B,222.73111,1.127401
Qwen2.5-32B,217.87683,1.5940707
Qwen2.5-32B,224.10132,1.584478
Qwen2.5-32B,227.37761,1.2400924
Qwen2.5-32B,219.0395,1.1443932
Qwen2.5-32B,215.2445,1.6148498
Qwen2.5-32B,230.99234,1.5489415
Qwen2.5-32B,215.05478,1.2524803
Qwen2.5-32B,219.54485,1.1257147
Qwen2.5-32B,218.65005,1.648998
Qwen2.5-32B,218.19461,1.6356002
Qwen2.5-32B,220.03687,1.2613313
Qwen2.5-32B,222.47282,1.2014563
Qwen2.5-32B,222.31679,1.6079745
Qwen2.5-32B,212.83499,1.1342776
Qwen2.5-32B,222.17953,1.5641992
Qwen2.5-32B,216.31192,1.0922725
Qwen2.5-32B,213.02885,2.3615165
Qwen2.5-32B,213.78102,1.0157346
Qwen2.5-32B,222.10759,1.5735066
Qwen2.5-32B,220.12613,1.072078
